trade_id,date,time,side,reason,price,position_before_pct,position_after_pct,delta_pct,realized_pnl,capital_after,final_score,legacy_score,trend_score,signal_score,norm_short,norm_long,regime,risk_scale,target_position_pct,direction,speed,mfe_pct,mae_pct,end_return_pct,ret_100_pct,ret_300_pct,ret_1000_pct,ticks_to_mfe
1,2019-07-17,09:36:55,buy,signal,6.0906,0.0,30.01,30.01,-30.0,99967.0,0.4732,0.5297,0.5339,0.4184,0.6835,0.5787,uptrend,1.0,62.89,up,0.4184,1.9603979903457742,0.6666009916921225,0.482711062949461,-0.009851246182648309,-0.3382261189373781,0.8110859357041909,3174
3,2019-07-18,10:23:23,buy,signal,6.0506,8.16,27.58,19.42,-19.36,99689.09,0.1856,0.1168,0.2158,0.298,0.1758,-0.1247,reversal_watch,1.0,38.16,up,0.298,1.1469936865765362,0.3404621029319398,0.320629359071829,-0.1751892374310013,0.15535649357087575,-0.00991637193006277,1717
6,2019-07-23,09:56:17,buy,signal,5.8906,0.0,29.05,29.05,-28.74,98922.68,0.1259,0.1308,0.1862,-0.1531,-0.0047,-0.0349,uptrend,1.0,29.28,up,0.3364,0.8386242488031835,0.6892336943605135,0.8386242488031835,-0.010185719621097647,0.15957627406376765,0.15957627406376765,1342
7,2019-07-25,11:11:59,buy,signal,6.0906,29.75,58.42,28.68,-28.63,99867.09,0.4269,0.4437,0.3437,0.6898,0.8899,0.4662,uptrend,1.0,58.41,up,0.6898,0.31852362657209604,0.9949758644468523,-0.8307884280694874,0.1543361901947166,-0.1740386825600132,-0.5024135553147576,32
11,2019-07-26,13:28:58,buy,signal,6.0406,12.76,31.05,18.29,-18.12,99068.1,0.3997,0.4529,0.3295,0.5248,0.6837,0.5476,uptrend,1.0,55.78,up,0.5248,0.9833460252292691,0.17547925702745032,0.6522530874416391,-0.009932788133635366,0.1556136807601796,0.32116014965399453,1999
12,2019-07-29,09:43:04,buy,signal,6.1006,31.27,50.22,18.95,-18.83,99353.01,0.3422,0.3167,0.301,0.5421,0.5877,0.2696,uptrend,1.0,50.21,up,0.5421,0.9736747205192952,0.6655083106579749,-0.009835098187069765,0.8097564174015726,0.48191981116611265,-0.1737534013047924,249
14,2019-07-30,10:42:42,buy,signal,6.1906,35.47,53.7,18.23,-18.2,99880.83,0.5122,0.5836,0.4543,0.6834,0.9527,0.6545,uptrend,1.0,66.66,up,0.6834,0.3133783478176604,1.1404387296869412,-0.1712273446838782,0.15184311698381897,-0.1712273446838782,-0.33276257551771965,65
17,2019-08-01,11:06:03,buy,signal,6.0206,21.91,46.23,24.32,-24.08,99024.71,0.3363,0.3657,0.3874,0.5867,0.8481,0.0516,up_exhaustion,1.0,49.64,up,0.5867,0.8205162276185153,0.5082549911968863,0.8205162276185153,0.1561306182108145,0.1561306182108145,0.1561306182108145,1987
19,2019-08-02,10:44:32,buy,signal,5.9606,29.85,54.02,24.17,-23.84,98657.69,0.3852,0.4229,0.3513,0.5644,0.803,0.4121,reversal_watch,1.0,54.37,up,0.5644,0.3254705902090408,1.0166761735395764,0.15770224474045244,-0.01006610072812096,-0.01006610072812096,-0.8489078280710028,96
23,2019-08-06,13:53:02,buy,signal,5.6806,0.0,30.01,30.01,-29.46,98171.88,0.512,0.5764,0.5306,0.6562,0.807,0.5705,reversal_watch,1.0,66.64,up,0.6562,0.6935887054184356,0.5386754920254856,0.5175509629264491,-0.010562264549526072,0.16547547794247608,0.16547547794247608,1164
26,2019-08-08,13:31:39,buy,signal,5.6406,0.0,30.01,30.01,-29.33,97738.32,0.2754,0.3062,0.3454,0.4262,0.4023,0.1423,up_exhaustion,0.8,37.41,up,1.0,0.3439350423713804,0.7197815835194911,-0.5424954792043353,-0.3652093748891953,-0.010637166258915328,-0.5424954792043353,20
28,2019-08-12,10:11:01,buy,signal,5.9006,16.35,33.3,16.95,-16.67,98338.93,0.2173,0.1469,0.2488,0.2625,0.2247,0.0296,uptrend,0.8,33.29,up,0.4934,4.396163102057423,0.5185913296952808,4.396163102057423,0.4982544148052719,-0.5185913296952808,0.6677287055553766,4527
29,2019-08-12,10:54:05,buy,signal,6.0006,33.67,46.54,12.87,-12.72,98879.89,0.6531,0.7324,0.6789,0.7895,1.0562,0.7244,uptrend,0.8,64.0,up,0.7895,2.656401026564006,0.6765990067659969,2.656401026564006,0.15665100156650016,-0.009999000099996299,-0.009999000099996299,3488
31,2019-08-13,09:36:42,buy,signal,6.1906,33.26,63.28,30.02,-29.97,99874.7,0.547,0.5183,0.586,0.8086,0.8644,0.37,uptrend,1.0,70.03,up,1.0,6.613252350337604,0.6558330371854025,1.2825897328207234,-0.1712273446838782,-0.00969211385002245,-0.33276257551771965,7448
35,2019-08-14,09:45:55,buy,signal,6.4906,20.3,33.09,12.79,-12.98,101487.82,0.459,0.479,0.4558,0.596,0.7933,0.4447,uptrend,1.0,61.51,up,0.596,0.761100668659297,3.0906233630172815,-2.3202785566819686,-0.009244137676015928,0.14482482359104393,-0.3173820602101493,470
36,2019-08-14,09:47:44,buy,signal,6.5007,33.13,46.58,13.45,-13.65,101524.56,0.345,0.3448,0.2974,0.4995,0.4902,0.3313,uptrend,1.0,50.48,up,0.89,0.6045502792006998,3.2411894103711925,-2.4720414724568167,0.14306151645206888,0.45072069161782735,-0.4722568338794344,208
38,2019-08-15,10:06:18,buy,signal,6.4906,33.74,48.47,14.73,-14.93,101441.08,0.3241,0.2728,0.2961,0.5425,0.6676,0.429,uptrend,1.0,48.46,up,0.5425,7.386066003143007,0.9336579052784024,5.999445351739442,-0.16331309894307577,-0.3173820602101493,-0.009244137676015928,12004
40,2019-08-15,10:37:12,buy,signal,6.5007,33.97,49.24,15.27,-15.48,101438.15,0.5831,0.5697,0.6166,0.8554,1.0689,0.4328,uptrend,1.0,73.53,up,1.0,7.21922254526435,0.16459765871367593,5.834756257018471,0.14306151645206888,0.7583798667835722,1.3736982171150756,8868
42,2019-08-16,09:45:06,buy,signal,6.9207,35.85,53.54,17.69,-18.35,103798.67,0.3765,0.3774,0.3419,0.5355,0.757,0.541,uptrend,1.0,53.53,up,0.5606,1.0013437947028498,3.333477827387398,-2.611007557039026,-0.4435967459939081,-0.1546086378545513,-0.010114583784879347,1273
45,2019-08-19,09:30:52,buy,signal,6.9507,21.82,41.75,19.93,-20.57,103215.72,0.4213,0.4425,0.4682,0.424,0.3356,0.1848,uptrend,1.0,57.86,up,0.6511,0.42154027651891324,2.887478958953779,-1.0171637389040014,-0.4416821327348381,-1.161034140446289,-2.168126951242328,9896
47,2019-08-20,09:35:03,buy,signal,6.9907,21.65,36.35,14.69,-15.1,102761.03,0.2196,0.2266,0.2017,0.1759,0.1485,0.2714,uptrend,1.0,38.35,up,0.3084,2.135694565637194,2.0126739811463903,-1.01134364226759,-0.1530604946571864,0.4191282704163991,0.848269844221601,1284
48,2019-08-20,09:38:23,buy,signal,7.0607,36.58,50.96,14.38,-14.83,103118.78,0.4039,0.4187,0.4377,0.4292,0.7246,0.4286,uptrend,1.0,56.18,up,0.5323,1.1231181044372363,2.984123387199571,-1.9927202685286138,0.2733440027192816,0.9814890874842459,0.41497301967227196,215
50,2019-08-21,09:56:47,buy,signal,7.0307,35.61,53.24,17.63,-18.13,102835.96,0.3734,0.4006,0.348,0.45,0.6877,0.3656,uptrend,1.0,53.23,up,0.649,0.13227701366861966,3.13908999103931,-2.427923250885404,-0.009956334362156613,-0.29442303042372175,-0.7211230745160505,83
54,2019-09-02,10:03:31,buy,signal,6.8307,5.92,35.93,30.01,-30.37,101209.63,0.5219,0.5062,0.5328,0.781,0.8724,0.4117,uptrend,0.8,54.91,up,0.9408,2.0393224706106183,1.1814308928806743,1.6001288301345422,-0.15664573176980295,-0.5958393722458926,-0.4494414920872003,4067
55,2019-09-03,09:59:01,buy,signal,7.0207,36.56,55.34,18.78,-19.18,102200.03,0.5278,0.5549,0.5291,0.7088,0.8604,0.4758,uptrend,0.8,55.33,up,0.7088,3.2660560912729544,0.5797142735054809,1.4143888786018544,0.4173373025481804,-0.009970515760538763,0.5597732419844159,5222
