date,trades,pnl,buys,sells,avg_pos_after,turnover
2020-02-19,4,2823.648636918384,1,3,0.3683183923457707,0.5654180704561713
2020-02-20,2,1866.4426579032668,1,1,0.14725736662799782,0.477527922396875
2020-02-13,3,1369.530910008882,1,2,0.4323966851599999,0.5335123399517598
2020-02-17,4,1295.5195809864458,2,2,0.27219187106741033,0.6123139234486494
2019-12-25,3,1237.209443304453,2,1,0.325557258693479,0.4498904695715884
2019-08-14,4,1198.710815236098,2,2,0.3336139282772466,0.5311082103886777
2019-08-13,3,1150.8250346420002,1,2,0.48376001036489785,0.59938341272574
2020-02-24,3,1043.1928343162488,1,2,0.45032634102564645,0.5745741675533742
2019-08-16,3,1013.3089122759727,1,2,0.37370307086443383,0.49305724880799096
2020-02-26,4,970.9911094846584,2,2,0.14823408611498295,0.6133741257638227
2020-02-14,2,891.1830242251285,1,1,0.5119155359524488,0.48086178348576003
2019-08-15,4,628.8484586529552,2,2,0.41559714836882095,0.5935200293863148
2020-02-12,3,598.5708518905203,1,2,0.350486271779698,0.5934218146262675
2019-12-26,1,591.0256826706026,0,1,0.22306421474389376,0.1551955384804672
2020-01-07,4,577.5187057472137,2,2,0.38882709156746775,0.5746797648399378
2020-02-18,4,554.3890054500612,2,2,0.4661504185649568,0.6184716531490578
2020-01-23,3,548.4154684760956,2,1,0.42547926891719445,0.42963979794514123
2019-09-03,3,545.7465531397438,1,2,0.39728918837998256,0.4916495294616052
2020-02-10,4,480.3011306971991,2,2,0.38878572082922996,0.5700289280636406
2019-09-04,3,449.25905803750936,2,1,0.1800982820985023,0.4570916180246146
2019-12-16,3,407.88131259579615,2,1,0.25884050355332094,0.49438501927867157
2019-09-10,3,388.75069349590444,1,2,0.3452255194540617,0.4421728905097583
2019-07-30,4,387.53990505363373,1,3,0.38083746675587404,0.6455125590775959
2019-09-05,4,377.43473791236397,2,2,0.38265261430026487,0.5456869299307554
2019-08-12,3,356.13236289854103,2,1,0.374804351515476,0.4378784757828815
2020-02-11,4,301.15223046215226,2,2,0.39892040319998123,0.5730999335481645
2020-02-21,4,266.416272899422,2,2,0.42031222450992434,0.5724841821407193
2019-12-27,2,264.7311278071816,1,1,0.27796321873656876,0.2851745134292717
2020-01-06,2,227.6610302906889,1,1,0.3544798708263735,0.33993759829025283
2019-08-20,3,203.79579188712881,2,1,0.40963015785651713,0.4431819456793306
2019-12-17,1,143.8788001266453,0,1,0.26556046376517783,0.14222012485691515
2019-12-09,3,134.4666325536393,1,2,0.45554793435750235,0.4771419009457565
2019-12-10,2,131.28819892278696,1,1,0.4733112981878509,0.4071232852262235
2020-01-09,1,111.98672200614573,0,1,0.11654402431100226,0.2566950772034104
2020-01-08,2,84.45083261838428,1,1,0.43739727228783043,0.30694328668525644
2019-07-25,2,76.6749004896631,1,1,0.5115627646029866,0.4301509147357905
2019-12-12,3,29.162152449260354,2,1,0.34742472419491915,0.42562957236885085
2020-02-25,4,23.019949226578845,2,2,0.3036956488670606,0.5699489186600795
2019-09-09,3,18.689637690692727,1,2,0.47944275535929975,0.574702093521711
2019-08-19,2,16.340799749860185,1,1,0.3143365126903409,0.39931218124165724
2020-01-15,3,-6.403712729827337,1,2,0.4232414222439897,0.46197365541415564
2020-01-20,3,-6.674545384821954,1,2,0.43186449237982405,0.464259511863344
2020-08-10,1,-16.765600000000003,1,0,0.18316004038882644,0.15192813198234711
2019-07-29,1,-18.825069131974914,1,0,0.5021900756914309,0.18952280214258588
